Build Timestamp (UTC)	Build	Job	Job URL	Build Trigger	Allow Job Failure	PR#	Branch	Commit	Commit Range	Commit Message	Sketch Filename	Board ID	IDE Version	Program Storage (bytes)	Dynamic Memory (bytes)	# Warnings	Allow Failure	Exit Status	# Board Issues	Board Issue	# Library Issues	Library Issue
2020-04-15 22:38:28	129	129.84	https://travis-ci.org/MCUdude/MegaCore/jobs/675459130	push		false	master	d68417a1a7c030bd5e76bfa0126851c8b9b20419	325e99a959b9...d68417a1a7c0	Update Optiboot flash	/home/travis/Arduino/hardware/MegaCore/avr/libraries/Timer/examples/Events/Events.ino	MegaCore:avr:128:bootloader=uart0,BOD=2v7,LTO=Os,clock=8MHz_external	1.6.7	4100	550	0	false	0	1	doesn't define a 'build.board' preference	0	
2020-04-15 22:38:33	129	129.84	https://travis-ci.org/MCUdude/MegaCore/jobs/675459130	push		false	master	d68417a1a7c030bd5e76bfa0126851c8b9b20419	325e99a959b9...d68417a1a7c0	Update Optiboot flash	/home/travis/Arduino/hardware/MegaCore/avr/libraries/Timer/examples/Pin_high_10_minutes/Pin_high_10_minutes.ino	MegaCore:avr:128:bootloader=uart0,BOD=2v7,LTO=Os,clock=8MHz_external	1.6.7	1640	205	1	false	0	1	doesn't define a 'build.board' preference	0	
2020-04-15 22:38:52	129	129.84	https://travis-ci.org/MCUdude/MegaCore/jobs/675459130	push		false	master	d68417a1a7c030bd5e76bfa0126851c8b9b20419	325e99a959b9...d68417a1a7c0	Update Optiboot flash	/home/travis/Arduino/hardware/MegaCore/avr/libraries/Timer/examples/Multitasking/Multitasking.ino	MegaCore:avr:128:bootloader=uart0,BOD=2v7,LTO=Os,clock=8MHz_external	1.6.7	3572	454	1	false	0	1	doesn't define a 'build.board' preference	0	
2020-04-15 22:38:57	129	129.84	https://travis-ci.org/MCUdude/MegaCore/jobs/675459130	push		false	master	d68417a1a7c030bd5e76bfa0126851c8b9b20419	325e99a959b9...d68417a1a7c0	Update Optiboot flash	/home/travis/Arduino/hardware/MegaCore/avr/libraries/Timer/examples/TimerTest/TimerTest.ino	MegaCore:avr:128:bootloader=uart0,BOD=2v7,LTO=Os,clock=8MHz_external	1.6.7	1606	203	0	false	0	1	doesn't define a 'build.board' preference	0	
2020-04-15 22:39:04	129	129.84	https://travis-ci.org/MCUdude/MegaCore/jobs/675459130	push		false	master	d68417a1a7c030bd5e76bfa0126851c8b9b20419	325e99a959b9...d68417a1a7c0	Update Optiboot flash	/home/travis/Arduino/hardware/MegaCore/avr/libraries/Timer/examples/Events/Events.ino	MegaCore:avr:128:bootloader=uart0,BOD=2v7,LTO=Os,clock=8MHz_external	1.6.9	4100	550	0	false	0	1	doesn't define a 'build.board' preference	0	
2020-04-15 22:39:09	129	129.84	https://travis-ci.org/MCUdude/MegaCore/jobs/675459130	push		false	master	d68417a1a7c030bd5e76bfa0126851c8b9b20419	325e99a959b9...d68417a1a7c0	Update Optiboot flash	/home/travis/Arduino/hardware/MegaCore/avr/libraries/Timer/examples/Pin_high_10_minutes/Pin_high_10_minutes.ino	MegaCore:avr:128:bootloader=uart0,BOD=2v7,LTO=Os,clock=8MHz_external	1.6.9	1640	205	1	false	0	1	doesn't define a 'build.board' preference	0	
2020-04-15 22:39:14	129	129.84	https://travis-ci.org/MCUdude/MegaCore/jobs/675459130	push		false	master	d68417a1a7c030bd5e76bfa0126851c8b9b20419	325e99a959b9...d68417a1a7c0	Update Optiboot flash	/home/travis/Arduino/hardware/MegaCore/avr/libraries/Timer/examples/Multitasking/Multitasking.ino	MegaCore:avr:128:bootloader=uart0,BOD=2v7,LTO=Os,clock=8MHz_external	1.6.9	3572	454	1	false	0	1	doesn't define a 'build.board' preference	0	
2020-04-15 22:39:19	129	129.84	https://travis-ci.org/MCUdude/MegaCore/jobs/675459130	push		false	master	d68417a1a7c030bd5e76bfa0126851c8b9b20419	325e99a959b9...d68417a1a7c0	Update Optiboot flash	/home/travis/Arduino/hardware/MegaCore/avr/libraries/Timer/examples/TimerTest/TimerTest.ino	MegaCore:avr:128:bootloader=uart0,BOD=2v7,LTO=Os,clock=8MHz_external	1.6.9	1606	203	0	false	0	1	doesn't define a 'build.board' preference	0	
2020-04-15 22:39:26	129	129.84	https://travis-ci.org/MCUdude/MegaCore/jobs/675459130	push		false	master	d68417a1a7c030bd5e76bfa0126851c8b9b20419	325e99a959b9...d68417a1a7c0	Update Optiboot flash	/home/travis/Arduino/hardware/MegaCore/avr/libraries/Timer/examples/Events/Events.ino	MegaCore:avr:128:bootloader=uart0,BOD=2v7,LTO=Os,clock=8MHz_external	1.6.13	3980	550	0	false	0	1	doesn't define a 'build.board' preference	0	
2020-04-15 22:39:31	129	129.84	https://travis-ci.org/MCUdude/MegaCore/jobs/675459130	push		false	master	d68417a1a7c030bd5e76bfa0126851c8b9b20419	325e99a959b9...d68417a1a7c0	Update Optiboot flash	/home/travis/Arduino/hardware/MegaCore/avr/libraries/Timer/examples/Pin_high_10_minutes/Pin_high_10_minutes.ino	MegaCore:avr:128:bootloader=uart0,BOD=2v7,LTO=Os,clock=8MHz_external	1.6.13	1628	205	1	false	0	1	doesn't define a 'build.board' preference	0	
